NA,uid,city_id,city_dev_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience_years,company_size,company_type,last_new_job,training_hours,change_job
1373,4476,city_101,0.558,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,NA,NA,>4,20,1
1374,22412,city_155,0.556,NA,Has relevent experience,no_enrollment,Graduate,STEM,16,<10,Early Stage Startup,1,26,1
1375,1222,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,3,1000-4999,Pvt Ltd,1,152,0
1376,5433,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,>4,21,1
1377,17032,city_103,0.92,Male,No relevent experience,no_enrollment,High School,NA,3,NA,NA,2,12,0
1378,30602,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,never,20,0
1379,33047,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,18,0
1380,22877,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,107,0
1381,18196,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,4,320,0
1382,33318,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,5,100-500,Pvt Ltd,>4,91,1
1383,3004,city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,Humanities,7,<10,Pvt Ltd,1,163,0
1384,15167,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,6,5000-9999,Pvt Ltd,1,16,0
1385,3771,city_160,0.92,NA,No relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Public Sector,1,38,0
1386,12506,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,Business Degree,18,50-99,NGO,1,31,0
1387,16586,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,4,34,0
1388,12160,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,NA,NA,1,11,0
1389,10504,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,35,0
1390,15888,city_16,0.91,NA,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Pvt Ltd,2,82,0
1391,17519,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,2,113,0
1392,1426,city_16,0.91,NA,No relevent experience,no_enrollment,Graduate,Humanities,<1,50-99,Pvt Ltd,1,72,0
1393,372,city_45,0.89,Male,No relevent experience,Part time course,Graduate,No Major,3,<10,Pvt Ltd,1,24,0
1394,25921,city_72,0.795,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,NGO,1,113,0
1395,16842,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,NGO,1,52,0
1396,4396,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,256,0
1397,11549,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,2,17,0
1398,29039,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,32,0
1399,4851,city_114,0.926,NA,No relevent experience,no_enrollment,Masters,STEM,>20,NA,NA,>4,11,0
1400,5593,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,NA,NA,1,37,0
1401,14036,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Funded Startup,1,6,0
1402,25704,city_21,0.624,Male,No relevent experience,Full time course,High School,NA,7,NA,NA,never,94,0
1403,24011,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,NA,NA,1,65,1
1404,24371,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,>4,86,0
1405,18876,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,82,0
1406,6663,city_91,0.691,Male,Has relevent experience,Full time course,Graduate,STEM,3,<10,Pvt Ltd,1,26,0
1407,19037,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,100-500,Pvt Ltd,1,34,0
1408,32342,city_91,0.691,NA,No relevent experience,Full time course,Graduate,STEM,2,NA,NA,1,310,0
1409,26048,city_103,0.92,Male,No relevent experience,Full time course,High School,NA,6,NA,NA,1,73,0
1410,15563,city_114,0.926,Male,Has relevent experience,no_enrollment,NA,NA,5,<10,Pvt Ltd,3,84,0
1411,33003,city_16,0.91,NA,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,7,0
1412,30292,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,8,0
1413,480,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,2,34,0
1414,26598,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,NGO,1,50,0
1415,2617,city_16,0.91,NA,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,28,0
1416,7824,city_65,0.802,Male,Has relevent experience,no_enrollment,NA,NA,15,<10,NA,1,78,0
1417,24785,city_103,0.92,NA,No relevent experience,Full time course,Graduate,STEM,4,10000+,Public Sector,1,33,0
1418,31080,city_10,0.895,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,2,10,1
1419,13894,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,>4,176,0
1420,27807,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,77,1
1421,26437,city_103,0.92,NA,Has relevent experience,Full time course,Graduate,STEM,6,NA,NA,1,139,1
1422,5154,city_160,0.92,Other,No relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,2,29,0
1423,7660,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,27,0
1424,26974,city_103,0.92,Male,Has relevent experience,Full time course,High School,NA,6,100-500,Funded Startup,3,167,0
1425,10998,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Funded Startup,2,146,0
1426,29309,city_11,0.55,Male,Has relevent experience,no_enrollment,Masters,STEM,2,50-99,NGO,1,6,0
1427,7468,city_57,0.866,Male,No relevent experience,Full time course,Graduate,STEM,2,NA,NA,never,75,0
1428,13010,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Funded Startup,2,19,0
1429,3959,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,92,0
1430,22743,city_107,0.518,Male,Has relevent experience,Part time course,Masters,STEM,<1,NA,NA,2,14,1
1431,12419,city_16,0.91,Male,No relevent experience,Full time course,High School,NA,4,<10,Pvt Ltd,1,6,0
1432,1253,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,42,0
1433,2577,city_136,0.897,NA,No relevent experience,Full time course,Graduate,STEM,5,NA,Pvt Ltd,never,40,0
1434,9439,city_114,0.926,NA,No relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,1,16,0
1435,8149,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,NA,NA,1,95,0
1436,6577,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Public Sector,2,30,0
1437,19353,city_73,0.754,NA,Has relevent experience,Full time course,Graduate,STEM,NA,NA,NA,1,12,1
1438,19276,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,3,NA,NA,2,29,1
1439,11214,city_16,0.91,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,1,106,1
1440,13763,city_173,0.878,NA,No relevent experience,no_enrollment,Masters,STEM,1,NA,NA,NA,18,1
1441,13255,city_155,0.556,NA,No relevent experience,no_enrollment,Graduate,STEM,6,10/49,Public Sector,1,46,1
1442,3498,city_41,0.827,Male,Has relevent experience,Full time course,Graduate,STEM,>20,100-500,Pvt Ltd,>4,72,0
1443,883,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,13,10000+,Public Sector,>4,12,0
1444,2316,city_11,0.55,Male,No relevent experience,NA,NA,NA,4,NA,NA,1,63,1
1445,15445,city_57,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,41,0
1446,33106,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,2,91,0
1447,12897,city_84,0.698,Male,No relevent experience,Full time course,Graduate,STEM,1,NA,NA,1,81,1
1448,14514,city_21,0.624,Male,No relevent experience,Full time course,High School,NA,8,NA,NA,never,111,0
1449,18848,city_41,0.827,Male,Has relevent experience,Full time course,High School,NA,6,<10,Other,1,160,0
1450,16508,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,never,42,0
1451,27838,city_83,0.923,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,66,0
1452,18184,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,2,40,0
1453,22689,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,4,42,0
1454,17118,city_75,0.939,Male,No relevent experience,no_enrollment,Graduate,STEM,3,NA,NA,2,56,1
1455,6662,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Public Sector,2,80,0
1456,6365,city_74,0.579,Male,No relevent experience,no_enrollment,Graduate,STEM,6,<10,Funded Startup,never,8,0
1457,5866,city_16,0.91,Male,Has relevent experience,no_enrollment,NA,NA,6,NA,NA,1,22,0
1458,12337,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,214,1
1459,1743,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,Business Degree,>20,1000-4999,Pvt Ltd,never,133,0
1460,28688,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,>4,116,0
1461,20531,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,18,5000-9999,Pvt Ltd,>4,41,0
1462,27380,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,19,NA,NA,3,162,0
1463,31813,city_21,0.624,NA,Has relevent experience,Full time course,Masters,STEM,6,NA,NA,1,6,1
1464,1884,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,2,43,1
1465,22172,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,12,0
1466,13810,city_114,0.926,Male,No relevent experience,no_enrollment,High School,NA,1,NA,NA,never,58,0
1467,307,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,NA,NA,1,3,1
1468,14565,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,1,105,0
1469,20444,city_114,0.926,Male,No relevent experience,NA,Graduate,STEM,5,<10,Pvt Ltd,1,66,0
1470,32705,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,4,10/49,Public Sector,2,100,0
1471,19841,city_114,0.926,NA,Has relevent experience,Part time course,High School,NA,8,1000-4999,Pvt Ltd,1,102,0
1472,5824,city_13,0.827,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,1,94,0
1473,20486,city_75,0.939,NA,No relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,2,15,0
1474,3513,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,14,0
1475,18639,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,122,0
1476,32054,city_21,0.624,NA,No relevent experience,Part time course,NA,NA,4,10/49,Pvt Ltd,NA,40,1
1477,25458,city_83,0.923,Male,No relevent experience,Full time course,High School,NA,1,<10,Funded Startup,1,105,0
1478,27730,city_46,0.762,NA,No relevent experience,no_enrollment,Masters,Humanities,1,10000+,NA,never,30,0
1479,7684,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,4,25,1
1480,32093,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Funded Startup,1,152,0
1481,11252,city_100,0.887,Male,No relevent experience,no_enrollment,Graduate,STEM,14,NA,NA,1,18,0
1482,11222,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,<10,Pvt Ltd,never,42,0
1483,14812,city_73,0.754,NA,No relevent experience,no_enrollment,Graduate,STEM,19,500-999,Pvt Ltd,>4,41,0
1484,23075,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,NA,>20,1000-4999,Public Sector,>4,7,0
1485,20232,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,NA,NA,1,86,1
1486,31179,city_33,0.448,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,28,0
1487,10314,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,106,0
1488,25621,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,1,110,0
1489,8902,city_103,0.92,Male,No relevent experience,no_enrollment,NA,NA,1,NA,NA,never,25,0
1490,29021,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,21,0
1491,2304,city_77,0.83,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,4,310,0
1492,16394,city_21,0.624,NA,No relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,2,48,0
1493,30057,city_103,0.92,NA,No relevent experience,Full time course,Masters,Humanities,>20,NA,NA,1,35,0
1494,24438,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,>4,126,0
1495,25272,city_64,0.666,Male,Has relevent experience,no_enrollment,NA,NA,5,50-99,Pvt Ltd,1,57,0
1496,119,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,9,10/49,NA,2,50,0
1497,21752,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,92,0
1498,9060,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,NA,NA,1,14,0
1499,29134,city_104,0.924,NA,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,>4,43,0
1500,26881,city_57,0.866,Male,No relevent experience,no_enrollment,High School,NA,4,NA,NA,never,66,0
1501,12882,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,1,11,0
1502,4630,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,12,NA,Pvt Ltd,never,34,1
1503,31213,city_73,0.754,Male,Has relevent experience,Full time course,High School,NA,4,NA,NA,1,52,1
1504,2540,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,2,23,0
1505,26662,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Pvt Ltd,>4,18,0
1506,24568,city_103,0.92,Male,Has relevent experience,Full time course,Masters,STEM,10,<10,NGO,1,46,0
1507,810,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,4,128,0
1508,26738,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,172,0
1509,5135,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,156,0
1510,26033,city_114,0.926,NA,No relevent experience,no_enrollment,High School,NA,3,NA,NA,never,56,0
1511,25034,city_21,0.624,NA,No relevent experience,no_enrollment,Graduate,STEM,2,1000-4999,Pvt Ltd,1,9,0
1512,4227,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,2,126,0
1513,32032,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,1,70,0
1514,7407,city_55,0.739,Male,No relevent experience,Full time course,Masters,STEM,5,NA,NA,1,50,1
1515,22908,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10/49,Pvt Ltd,1,16,1
1516,23479,city_89,0.925,Male,No relevent experience,Full time course,Graduate,STEM,4,NA,NA,1,132,1
1517,1473,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,>4,29,0
1518,32677,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,5000-9999,NGO,>4,148,0
1519,14706,city_24,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,9,NA,NA,>4,96,0
1520,14459,city_105,0.794,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,4,113,0
1521,12776,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,10,NA,NA,>4,76,0
1522,3510,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,5000-9999,Pvt Ltd,1,22,0
1523,20301,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,102,0
1524,16876,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,3,0
1525,19573,city_93,0.865,Male,Has relevent experience,Full time course,Graduate,STEM,11,NA,NA,2,20,1
1526,32625,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10/49,Pvt Ltd,>4,48,0
1527,31132,city_19,0.682,Male,No relevent experience,Full time course,Graduate,No Major,2,NA,NA,never,102,1
1528,15813,city_114,0.926,NA,Has relevent experience,no_enrollment,High School,NA,9,NA,NA,1,42,0
1529,12306,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,4,NA,NA,never,38,1
1530,18548,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,<10,Early Stage Startup,never,98,0
1531,21753,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,214,0
1532,13200,city_104,0.924,Male,No relevent experience,Full time course,High School,NA,7,NA,NA,4,148,1
1533,31457,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,2,37,0
1534,20766,city_145,0.555,NA,Has relevent experience,no_enrollment,NA,NA,3,50-99,Pvt Ltd,2,5,1
1535,13432,city_19,0.682,NA,No relevent experience,Full time course,NA,NA,3,5000-9999,Pvt Ltd,never,29,0
1536,22721,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,Pvt Ltd,>4,298,1
1537,7588,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,1,109,0
1538,3008,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,STEM,10,NA,NA,1,16,1
1539,26019,city_160,0.92,NA,Has relevent experience,no_enrollment,NA,NA,17,100-500,Pvt Ltd,4,32,0
1540,25759,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,40,0
1541,29601,city_100,0.887,Male,No relevent experience,no_enrollment,Graduate,Other,2,NA,NA,1,24,0
1542,30992,city_175,0.776,Male,No relevent experience,Full time course,Graduate,STEM,4,NA,NA,never,52,0
1543,12268,city_7,0.647,NA,No relevent experience,Full time course,Graduate,STEM,15,NA,NA,2,23,1
1544,27618,city_104,0.924,Male,No relevent experience,Full time course,Masters,STEM,9,100-500,Public Sector,1,45,1
1545,27280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,500-999,Funded Startup,1,66,0
1546,28042,city_114,0.926,Male,No relevent experience,Part time course,Graduate,STEM,5,10000+,Pvt Ltd,1,58,0
1547,25736,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,3,62,0
1548,30841,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,63,0
1549,27472,city_94,0.698,NA,Has relevent experience,no_enrollment,Graduate,STEM,4,NA,NA,1,92,1
1550,14463,city_21,0.624,Female,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,3,69,1
1551,28072,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,NA,NA,1,146,1
1552,5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,0
1553,10032,city_98,0.949,Male,No relevent experience,no_enrollment,Masters,Business Degree,16,10000+,Pvt Ltd,>4,23,1
1554,14065,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,2,500-999,Pvt Ltd,2,84,0
1555,5548,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,NA,NA,1,26,1
1556,1030,city_28,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,>4,164,0
1557,31515,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,110,0
1558,6656,city_21,0.624,NA,Has relevent experience,no_enrollment,Masters,Arts,6,10/49,Pvt Ltd,1,21,1
1559,23662,city_103,0.92,NA,Has relevent experience,NA,Masters,Humanities,<1,50-99,Funded Startup,1,34,0
1560,18653,city_21,0.624,NA,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Pvt Ltd,>4,10,0
1561,19940,city_70,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,>4,20,0
1562,18088,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Arts,1,<10,Early Stage Startup,1,5,0
1563,30395,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,NA,15,50-99,Pvt Ltd,>4,64,0
1564,1286,city_160,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,>4,53,0
1565,21912,city_7,0.647,NA,Has relevent experience,no_enrollment,Masters,STEM,4,NA,NA,never,59,0
1566,13653,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,16,5000-9999,Pvt Ltd,4,92,0
1567,13486,city_114,0.926,Male,Has relevent experience,Part time course,Masters,Other,19,50-99,Pvt Ltd,2,4,0
1568,8126,city_71,0.884,NA,Has relevent experience,Full time course,Graduate,STEM,11,50-99,Pvt Ltd,1,10,0
1569,3321,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,8,0
1570,22416,city_21,0.624,NA,Has relevent experience,Full time course,Masters,STEM,>20,NA,NA,>4,6,1
1571,30253,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,500-999,Pvt Ltd,1,26,0
1572,29364,city_89,0.925,NA,Has relevent experience,no_enrollment,Graduate,STEM,14,NA,NA,1,11,1
1573,24035,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,NA,9,NA,NA,never,10,0
1574,2327,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,1,42,1
1575,4054,city_67,0.855,Male,No relevent experience,no_enrollment,High School,NA,3,NA,NA,never,46,0
1576,5911,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,151,0
1577,31456,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,54,0
1578,31374,city_57,0.866,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Pvt Ltd,3,44,0
1579,2227,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,1,35,0
1580,10770,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,NA,NA,2,67,0
1581,27522,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,11,0
1582,25645,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1,30,0
1583,3303,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,2,<10,Funded Startup,2,35,0
1584,32132,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,1,52,0
1585,29864,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,NA,3,50-99,Pvt Ltd,1,26,0
1586,26571,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,6,100-500,NGO,1,11,0
1587,10101,city_136,0.897,NA,Has relevent experience,Part time course,Masters,STEM,4,<10,Funded Startup,1,105,0
1588,19418,city_21,0.624,Male,No relevent experience,Full time course,High School,NA,3,NA,NA,never,7,1
1589,1503,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,Business Degree,2,NA,NA,1,44,1
1590,18199,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,NA,NA,1,9,0
1591,26811,city_41,0.827,Male,No relevent experience,no_enrollment,High School,NA,10,NA,NA,1,109,0
1592,2886,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,50,0
1593,11557,city_50,0.896,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,never,34,0
1594,6241,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,1,56,0
1595,2873,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,4,NA,NA,1,94,0
1596,15172,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,45,0
1597,15096,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,17,NA,NA,>4,10,1
1598,17510,city_114,0.926,Male,No relevent experience,no_enrollment,High School,NA,8,NA,NA,never,124,0
1599,31502,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,NA,>20,100-500,Pvt Ltd,3,57,0
1600,651,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,1,72,0
1601,505,city_150,0.698,Male,No relevent experience,Full time course,Graduate,STEM,2,NA,Pvt Ltd,never,16,0
1602,5869,city_64,0.666,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,4,54,0
1603,31847,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,NA,NA,>4,87,0
1604,3489,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,2,43,0
1605,8097,city_45,0.89,Male,Has relevent experience,no_enrollment,High School,NA,12,500-999,Pvt Ltd,>4,188,0
1606,26225,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,9,NA,NA,>4,102,0
1607,32830,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,20,1
1608,4686,city_61,0.913,Other,Has relevent experience,Part time course,Graduate,STEM,7,10000+,Pvt Ltd,1,145,1
1609,24100,city_36,0.893,Male,No relevent experience,Full time course,Masters,STEM,10,1000-4999,Public Sector,2,37,0
